content,like_count,ip_location,nickname,note_id,comment_id,parent_comment_id,is_sub_comment
难道是因为我单身？第一反应就是想知道孩子具体的原因，让他难受的点到底是什么，不是大人的猜测和评价甚至既定规则，而是孩子的想法和自身理解…听懂了他的难处再考虑如何引导？是因为成为父母之后 就无法避免会对孩子做出快速评价甚至处理了吗,11,美国,Kay,6930d37a000000001b0311e0,6939d9d2000000001601ec36,,False
[完啦R]我只能说，那是真的上火啊好家伙[完啦R]我平时情绪堪比卡皮巴拉在孩子各种反应之下经常血压飙升…不真发生在自己日常生活身边的话可能不太能感受到,2,澳大利亚,🌸特特,6930d37a000000001b0311e0,6939eb7d000000003803c968,6939d9d2000000001601ec36,True
请问5岁孩子每天写作业前都哭闹她要玩，怎么办？我每次都说吃完饭要先写作业，作业不多，一点点，她总是哭闹[失望R],0,山西,云云,6930d37a000000001b0311e0,6930d744000000003900b829,,False
五岁写什么作业？？？,19,四川,晴天🌞,6930d37a000000001b0311e0,6930e631000000001600fb58,6930d744000000003900b829,True
"你娃真实诉求不是不去，而是早4分钟来接。这么小的诉求在你接受范围内，显得你有解决方案，可以成功学了。

现实生活中很多娃的诉求就是不去。我们当然会去挖理由，今天想在家玩玩具了，第一天上完觉得无聊了，或者太长了你上4分钟就来接我。挖完会发现他的理由和诉求就很大，不在你可以改变和接受范围内。那才是让我们真正烦恼🔥的地方",0,中国香港,痕迹,6930d37a000000001b0311e0,693a1a1c0000000014037629,,False
但是这种和孩子之间的误会其实挺常见的。你说的那种违反底线的要求是另一个话题，不是博主讨论的重点。尽量减少这种误会，等真正需要处理那些触碰底线的要求的时候会顺利很多。,1,加拿大,12345,6930d37a000000001b0311e0,693c4d49000000001d01d375,693a1a1c0000000014037629,True
我看你在开车录视频，我边听着边心理有点慌。,1,上海,两个娃的小颖妈妈,6930d37a000000001b0311e0,6942c6e9000000001403717a,,False
用方法对我儿子来说的话，有了第一次就会撕开一个口子，后面每次有类似的情况，他都会提出要我们提前去接他，这种情况怎么办呢？,4,江苏,小红薯686B11D4,6930d37a000000001b0311e0,6930e846000000000e0363ea,,False
允许,0,湖南,joannnnn,6930d37a000000001b0311e0,69312afc000000001702dcab,6930e846000000000e0363ea,True
能看出来花生是想节约时间，回家的路上就完成一个视频录制，还有就是第一时间分享新鲜案例给大家😊,15,甘肃,花生育儿育己＆明之家,6930d37a000000001b0311e0,6930d9b2000000001600f1dc,,False
太懂我了[偷笑R],1,美国,花生共和本花,6930d37a000000001b0311e0,6930dd17000000001d01ed4a,6930d9b2000000001600f1dc,True
,10,美国,娜娜 （请帮助宁波洛熙妈妈）,6930d37a000000001b0311e0,6934b399000000001d01c6c7,,False
希望更多的人能看到,2,湖北,9~9,6930d37a000000001b0311e0,693595ad000000003803f6f7,6934b399000000001d01c6c7,True
花生。能不能讲解一下，孩子一碰到问题就喊奶奶，他觉得奶奶会无底线的包容他，为他做一些力所能及的小事，而且不让我靠近，我也没办法去和他共情，每次都是这样，怎么样才能解决[哭惹R],0,广东,赖赖,6930d37a000000001b0311e0,693105c40000000038010ba1,,False
可能是奶奶能接住孩子在遇到问题时心里的那份不适感[偷笑R],1,陕西,羊儿不吃草_🖤,6930d37a000000001b0311e0,69311a9e000000001d01c398,693105c40000000038010ba1,True
换个角度想，不只和孩子，和老公相处也是，如果在第一时间，压住蹦出来的火苗，好好说话，家庭氛围也能很融洽啊，而如果火山爆发了，好几天都缓不过来,4,山东,发发与花🎋,6930d37a000000001b0311e0,69322f560000000038004079,,False
老公比孩子难相处，孩子有希望，毕竟脑子还没长好，会越来越好，老公冥顽不宁,6,浙江,暖暖的橙,6930d37a000000001b0311e0,69328a86000000001601eabc,69322f560000000038004079,True
嗯，没有恶意，在美国可以一边开车一边用手机？,3,上海,欢喜哥&那妈莉莉,6930d37a000000001b0311e0,6934c9fc000000001502d3a4,,False
